Title,Rank,Score
One Piece,1,8.73
Fullmetal Alchemist: Brotherhood,2,9.10
Hunter x Hunter (2011),3,9.03
Steins;Gate,4,9.07
Shingeki no Kyojin,5,8.56
Death Note,6,8.62
Naruto: Shippuuden,7,8.28
Code Geass: Hangyaku no Lelouch,8,8.70
Shinseiki Evangelion,9,8.36
Jujutsu Kaisen,10,8.55
Kimi no Na wa.,11,8.83
Kimetsu no Yaiba,12,8.43
Koe no Katachi,13,8.93
Shigatsu wa Kimi no Uso,14,8.64
Cowboy Bebop,15,8.75
Naruto,16,8.01
Tengen Toppa Gurren Lagann,17,8.64
Bleach,18,7.97
Code Geass: Hangyaku no Lelouch R2,19,8.91
Haikyuu!!,20,8.43
Re:Zero kara Hajimeru Isekai Seikatsu,21,8.24
Clannad: After Story,22,8.93
Sousou no Frieren,23,9.30
Sword Art Online,24,7.22
Violet Evergarden,25,8.68
One Punch Man,26,8.48
Shingeki no Kyojin Season 3 Part 2,27,9.05
Gintama,28,8.93
Monster,29,8.89
Mahou Shoujo Madoka★Magica,30,8.38
Toradora!,31,8.05
Boku no Hero Academia,32,7.84
Vinland Saga,33,8.77
Shingeki no Kyojin: The Final Season,34,8.78
Mob Psycho 100,35,8.49
Tokyo Ghoul,36,7.79
Chainsaw Man,37,8.45
Bakemonogatari,38,8.32
Boku dake ga Inai Machi,39,8.30
Angel Beats!,40,8.05
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,41,8.23
Black Clover,42,8.14
No Game No Life,43,8.04
Fairy Tail,44,7.57
Kono Subarashii Sekai ni Shukufuku wo!,45,8.09
Made in Abyss,46,8.63
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,47,8.50
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,48,8.40
Dragon Ball Z,49,8.20
Spy x Family,50,8.46
Samurai Champloo,51,8.52
Psycho-Pass,52,8.33
Kill la Kill,53,8.03
JoJo no Kimyou na Bouken (TV),54,7.87
Horimiya,55,8.19
Mushoku Tensei: Isekai Ittara Honki Dasu,56,8.35
Kiseijuu: Sei no Kakuritsu,57,8.32
Ouran Koukou Host Club,58,8.16
Sen to Chihiro no Kamikakushi,59,8.77
Fate/Zero,60,8.27
Noragami,61,7.94
Bocchi the Rock!,62,8.75
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,63,8.58
Darling in the FranXX,64,7.19
Mob Psycho 100 II,65,8.78
Nana,66,8.56
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,67,8.29
Yakusoku no Neverland,68,8.48
Kaguya-sama wa Kokurasetai: Ultra Romantic,69,8.98
Saiki Kusuo no Ψ-nan,70,8.41
FLCL,71,8.04
Tensei shitara Slime Datta Ken,72,8.14
Banana Fish,73,8.45
Shingeki no Kyojin: The Final Season Part 2,74,8.76
Serial Experiments Lain,75,8.09
Cyberpunk: Edgerunners,76,8.61
"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",77,8.56
Mirai Nikki (TV),78,7.38
Howl no Ugoku Shiro,79,8.67
Ansatsu Kyoushitsu,80,8.07
[Oshi no Ko],81,8.57
Durarara!!,82,8.09
Akame ga Kill!,83,7.48
Kenpuu Denki Berserk,84,8.60
Dr. Stone,85,8.26
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,86,8.00
Death Parade,87,8.13
Soul Eater,88,7.85
NHK ni Youkoso!,89,8.31
Bungou Stray Dogs,90,7.81
Clannad,91,7.99
Hyouka,92,8.05
Mushishi,93,8.65
Overlord,94,7.90
Great Teacher Onizuka,95,8.68
Fullmetal Alchemist,96,8.11
Sakura-sou no Pet na Kanojo,97,8.05
Devilman: Crybaby,98,7.74
Tokyo Revengers,99,7.85
Tate no Yuusha no Nariagari,100,7.92
