Country,Year,Series,Value
"Total, all countries or areas",1995,GDP in current prices (millions of US dollars),31290901.00
"Total, all countries or areas",2005,GDP in current prices (millions of US dollars),47816593.00
"Total, all countries or areas",2010,GDP in current prices (millions of US dollars),66633612.00
"Total, all countries or areas",2015,GDP in current prices (millions of US dollars),75440153.00
"Total, all countries or areas",2020,GDP in current prices (millions of US dollars),85483570.00
"Total, all countries or areas",2021,GDP in current prices (millions of US dollars),97329051.00
"Total, all countries or areas",2022,GDP in current prices (millions of US dollars),100834796.00
"Total, all countries or areas",1995,GDP per capita (US dollars),5450.00
"Total, all countries or areas",2005,GDP per capita (US dollars),7293.00
"Total, all countries or areas",2010,GDP per capita (US dollars),9541.00
"Total, all countries or areas",2015,GDP per capita (US dollars),10161.00
"Total, all countries or areas",2020,GDP per capita (US dollars),10905.00
"Total, all countries or areas",2021,GDP per capita (US dollars),12309.00
"Total, all countries or areas",2022,GDP per capita (US dollars),12647.00
"Total, all countries or areas",1995,GDP in constant 2015 prices (millions of US dollars),40338168.00
"Total, all countries or areas",2005,GDP in constant 2015 prices (millions of US dollars),56485238.00
"Total, all countries or areas",2010,GDP in constant 2015 prices (millions of US dollars),64936404.00
"Total, all countries or areas",2015,GDP in constant 2015 prices (millions of US dollars),75440153.00
"Total, all countries or areas",2020,GDP in constant 2015 prices (millions of US dollars),82306867.00
"Total, all countries or areas",2021,GDP in constant 2015 prices (millions of US dollars),87439828.00
"Total, all countries or areas",2022,GDP in constant 2015 prices (millions of US dollars),90126325.00
"Total, all countries or areas",1995,GDP real rates of growth (percent),3.00
"Total, all countries or areas",2005,GDP real rates of growth (percent),4.00
"Total, all countries or areas",2010,GDP real rates of growth (percent),4.50
"Total, all countries or areas",2015,GDP real rates of growth (percent),3.10
"Total, all countries or areas",2020,GDP real rates of growth (percent),-2.90
"Total, all countries or areas",2021,GDP real rates of growth (percent),6.20
"Total, all countries or areas",2022,GDP real rates of growth (percent),3.10
Africa,1995,GDP in current prices (millions of US dollars),604665.00
Africa,2005,GDP in current prices (millions of US dollars),1171085.00
Africa,2010,GDP in current prices (millions of US dollars),2033221.00
Africa,2015,GDP in current prices (millions of US dollars),2409648.00
Africa,2020,GDP in current prices (millions of US dollars),2447535.00
Africa,2021,GDP in current prices (millions of US dollars),2734236.00
Africa,2022,GDP in current prices (millions of US dollars),2870757.00
Africa,1995,GDP per capita (US dollars),836.00
Africa,2005,GDP per capita (US dollars),1264.00
Africa,2010,GDP per capita (US dollars),1930.00
Africa,2015,GDP per capita (US dollars),2009.00
Africa,2020,GDP per capita (US dollars),1801.00
Africa,2021,GDP per capita (US dollars),1964.00
Africa,2022,GDP per capita (US dollars),2015.00
Africa,1995,GDP in constant 2015 prices (millions of US dollars),984617.00
Africa,2005,GDP in constant 2015 prices (millions of US dollars),1534059.00
Africa,2010,GDP in constant 2015 prices (millions of US dollars),1995795.00
Africa,2015,GDP in constant 2015 prices (millions of US dollars),2409648.00
Africa,2020,GDP in constant 2015 prices (millions of US dollars),2635713.00
Africa,2021,GDP in constant 2015 prices (millions of US dollars),2777729.00
Africa,2022,GDP in constant 2015 prices (millions of US dollars),2875884.00
Africa,1995,GDP real rates of growth (percent),2.80
Africa,2005,GDP real rates of growth (percent),6.20
Africa,2010,GDP real rates of growth (percent),5.90
Africa,2015,GDP real rates of growth (percent),3.40
Africa,2020,GDP real rates of growth (percent),-2.40
Africa,2021,GDP real rates of growth (percent),5.40
Africa,2022,GDP real rates of growth (percent),3.50
Northern Africa,1995,GDP in current prices (millions of US dollars),207392.00
Northern Africa,2005,GDP in current prices (millions of US dollars),376507.00
Northern Africa,2010,GDP in current prices (millions of US dollars),646437.00
Northern Africa,2015,GDP in current prices (millions of US dollars),772568.00
Northern Africa,2020,GDP in current prices (millions of US dollars),762299.00
Northern Africa,2021,GDP in current prices (millions of US dollars),852083.00
Northern Africa,2022,GDP in current prices (millions of US dollars),855580.00
