customer_age,customer_income,home_ownership,loan_intent,loan_grade,loan_amount,loan_int_rate,term_years,cred_hist_length,Current_loan_status
22,59000,RENT,PERSONAL,C,35000,16.02,10,3,DEFAULT
21,9600,OWN,EDUCATION,A,1000,11.14,1,2,NO DEFAULT
25,9600,MORTGAGE,MEDICAL,B,5500,12.87,5,3,DEFAULT
23,65500,RENT,MEDICAL,B,35000,15.23,10,2,DEFAULT
24,54400,RENT,MEDICAL,B,35000,14.27,10,4,DEFAULT
21,9900,OWN,VENTURE,A,2500,7.14,1,2,DEFAULT
26,77100,RENT,EDUCATION,A,35000,12.42,10,3,NO DEFAULT
24,78956,RENT,MEDICAL,A,35000,11.11,10,4,NO DEFAULT
24,83000,RENT,PERSONAL,A,35000,8.9,10,2,NO DEFAULT
21,10000,OWN,VENTURE,C,1600,14.74,1,3,DEFAULT
22,85000,RENT,VENTURE,A,35000,10.37,10,4,NO DEFAULT
21,10000,OWN,HOME IMPROVEMENT,A,4500,8.63,1,2,DEFAULT
23,95000,RENT,VENTURE,A,35000,7.9,10,2,NO DEFAULT
26,108160,RENT,EDUCATION,D,35000,18.39,10,4,DEFAULT
23,115000,RENT,EDUCATION,A,35000,7.9,10,4,NO DEFAULT
23,500000,MORTGAGE,DEBT CONSOLIDATION,A,30000,10.65,10,3,NO DEFAULT
23,120000,RENT,EDUCATION,A,35000,7.9,10,4,NO DEFAULT
23,92111,RENT,MEDICAL,E,35000,20.25,10,4,DEFAULT
23,113000,RENT,DEBT CONSOLIDATION,C,35000,18.25,10,4,DEFAULT
24,10800,MORTGAGE,EDUCATION,A,1750,10.99,4,2,DEFAULT
25,162500,RENT,VENTURE,A,35000,7.49,10,4,NO DEFAULT
25,137000,RENT,PERSONAL,D,34800,16.77,10,2,NO DEFAULT
22,65000,RENT,EDUCATION,C,34000,17.58,10,4,DEFAULT
24,10980,OWN,PERSONAL,A,1500,7.29,4,3,NO DEFAULT
22,80000,RENT,PERSONAL,C,33950,14.54,10,4,DEFAULT
24,67746,RENT,HOME IMPROVEMENT,B,33000,12.68,10,3,DEFAULT
21,11000,MORTGAGE,VENTURE,D,4575,17.74,1,3,DEFAULT
23,11000,OWN,PERSONAL,A,1400,9.32,3,3,NO DEFAULT
24,65000,RENT,HOME IMPROVEMENT,A,32500,9.99,10,3,NO DEFAULT
21,11389,OTHER,EDUCATION,B,4000,12.84,1,2,DEFAULT
21,11520,OWN,MEDICAL,A,2000,11.12,1,3,DEFAULT
25,120000,RENT,VENTURE,A,32000,6.62,10,2,NO DEFAULT
26,95000,RENT,HOME IMPROVEMENT,B,31050,14.17,10,3,DEFAULT
25,306000,RENT,DEBT CONSOLIDATION,B,24250,13.85,10,3,NO DEFAULT
26,300000,MORTGAGE,MEDICAL,B,7800,13.49,6,4,NO DEFAULT
21,12000,OWN,EDUCATION,A,2500,7.51,1,4,DEFAULT
22,48000,RENT,EDUCATION,D,30000,18.39,10,2,DEFAULT
24,64000,RENT,DEBT CONSOLIDATION,C,30000,14.54,10,3,DEFAULT
25,75000,RENT,HOME IMPROVEMENT,C,30000,16.89,10,4,DEFAULT
23,71500,RENT,DEBT CONSOLIDATION,C,30000,10.99,10,4,DEFAULT
26,62050,RENT,MEDICAL,D,30000,17.99,10,2,DEFAULT
24,12000,OWN,VENTURE,A,2500,12.69,4,3,DEFAULT
26,300000,MORTGAGE,VENTURE,A,20000,7.88,10,4,NO DEFAULT
23,300000,OWN,EDUCATION,E,24250,19.41,10,2,NO DEFAULT
26,300000,OWN,HOME IMPROVEMENT,A,10000,10.38,6,4,NO DEFAULT
26,300000,MORTGAGE,EDUCATION,C,25000,15.33,10,3,NO DEFAULT
25,300000,MORTGAGE,HOME IMPROVEMENT,D,18000,16.45,10,3,NO DEFAULT
26,80690,RENT,PERSONAL,A,30000,7.49,10,3,NO DEFAULT
22,66300,RENT,MEDICAL,A,30000,12.69,10,3,NO DEFAULT
26,89028,RENT,DEBT CONSOLIDATION,A,30000,6.62,10,3,NO DEFAULT
24,78000,RENT,DEBT CONSOLIDATION,C,30000,10.99,10,4,DEFAULT
23,78000,RENT,DEBT CONSOLIDATION,E,30000,18.62,10,3,DEFAULT
23,92004,RENT,PERSONAL,B,30000,15.23,10,3,DEFAULT
23,97000,RENT,VENTURE,A,30000,10.65,10,2,NO DEFAULT
25,120000,RENT,EDUCATION,A,30000,7.9,10,4,NO DEFAULT
26,280000,RENT,PERSONAL,B,10000,15.96,6,3,NO DEFAULT
26,277104,RENT,VENTURE,A,20000,11.48,10,3,NO DEFAULT
23,277000,OWN,PERSONAL,A,35000,10.99,10,4,NO DEFAULT
25,128000,RENT,PERSONAL,A,30000,7.29,10,4,NO DEFAULT
24,12000,OWN,VENTURE,D,1750,10.99,4,3,NO DEFAULT
21,131000,RENT,VENTURE,A,30000,5.99,10,4,NO DEFAULT
22,275000,OWN,VENTURE,A,12000,11.58,10,2,NO DEFAULT
26,263000,MORTGAGE,EDUCATION,A,10000,10.99,6,4,DEFAULT
25,221850,MORTGAGE,MEDICAL,C,25000,15.7,10,2,DEFAULT
22,70000,RENT,EDUCATION,C,29100,15.99,10,3,DEFAULT
22,12000,MORTGAGE,EDUCATION,C,1500,14.84,2,3,NO DEFAULT
26,260000,OWN,HOME IMPROVEMENT,A,28000,10.99,10,3,NO DEFAULT
25,259000,MORTGAGE,HOME IMPROVEMENT,C,20000,14.42,10,2,NO DEFAULT
24,255000,MORTGAGE,EDUCATION,A,9600,6.99,4,2,NO DEFAULT
25,250000,RENT,MEDICAL,B,25000,13.49,10,4,NO DEFAULT
25,12000,OWN,MEDICAL,B,3000,10.99,5,3,DEFAULT
22,56950,RENT,MEDICAL,A,28000,10.99,10,2,NO DEFAULT
21,12000,OWN,EDUCATION,B,3000,13.61,1,3,DEFAULT
23,65000,RENT,EDUCATION,A,28000,7.9,10,2,NO DEFAULT
26,85000,RENT,VENTURE,A,28000,7.49,10,3,NO DEFAULT
26,12000,OWN,EDUCATION,A,6100,7.51,6,3,DEFAULT
22,88000,RENT,VENTURE,A,28000,9.91,10,3,NO DEFAULT
21,12000,OWN,PERSONAL,B,4200,13.48,1,4,DEFAULT
22,12000,OWN,DEBT CONSOLIDATION,A,4750,7.14,2,2,DEFAULT
24,83004,RENT,VENTURE,C,28000,15.99,10,4,DEFAULT
24,250000,RENT,EDUCATION,B,18000,12.98,10,3,NO DEFAULT
25,100000,RENT,DEBT CONSOLIDATION,A,28000,12.69,10,3,NO DEFAULT
26,110000,RENT,EDUCATION,A,28000,8.9,10,2,NO DEFAULT
26,12000,OWN,DEBT CONSOLIDATION,A,2700,10.99,6,4,DEFAULT
22,108000,RENT,EDUCATION,A,28000,10.99,10,4,NO DEFAULT
23,151200,RENT,DEBT CONSOLIDATION,A,28000,11.11,10,2,NO DEFAULT
24,69000,RENT,HOME IMPROVEMENT,A,27600,10.99,10,2,NO DEFAULT
21,12000,MORTGAGE,DEBT CONSOLIDATION,D,3250,15.68,1,3,DEFAULT
22,70000,RENT,EDUCATION,B,27500,13.06,10,3,DEFAULT
22,240000,OWN,PERSONAL,A,25000,10.99,10,2,NO DEFAULT
26,73200,RENT,VENTURE,C,27050,15.62,10,2,DEFAULT
24,83000,RENT,PERSONAL,B,27000,13.49,10,2,DEFAULT
24,73399,RENT,VENTURE,C,27000,10.99,10,3,DEFAULT
23,62500,RENT,MEDICAL,A,26000,11.71,10,2,NO DEFAULT
