"Title","Popularity_Ranking","Favourability_Ranking","Anime_Rating"
"Shingeki no Kyojin",1,5,8.56
"Death Note",2,6,8.62
"Fullmetal Alchemist: Brotherhood",3,2,9.1
"One Punch Man",4,26,8.48
"Kimetsu no Yaiba",5,12,8.43
"Sword Art Online",6,24,7.22
"Boku no Hero Academia",7,32,7.84
"Hunter x Hunter (2011)",8,3,9.03
"Naruto",9,16,8.01
"Tokyo Ghoul",10,36,7.79
"Kimi no Na wa.",11,11,8.83
"Shingeki no Kyojin Season 2",12,0,8.53
"Jujutsu Kaisen",13,10,8.55
"Steins;Gate",14,4,9.07
"Boku no Hero Academia 2nd Season",15,0,8.06
"Naruto: Shippuuden",16,7,8.28
"One Piece",17,1,8.73
"Shingeki no Kyojin Season 3",18,0,8.63
"No Game No Life",19,43,8.04
"Koe no Katachi",20,13,8.93
"Shingeki no Kyojin Season 3 Part 2",21,27,9.05
"Code Geass: Hangyaku no Lelouch",22,8,8.7
"Re:Zero kara Hajimeru Isekai Seikatsu",23,21,8.24
"Shigatsu wa Kimi no Uso",24,14,8.64
"Toradora!",25,31,8.05
"Boku no Hero Academia 3rd Season",26,0,7.99
"Noragami",27,61,7.94
"Mob Psycho 100",28,35,8.49
"Boku dake ga Inai Machi",29,39,8.3
"Akame ga Kill!",30,83,7.48
"Shingeki no Kyojin: The Final Season",31,34,8.78
"Angel Beats!",32,40,8.05
"Nanatsu no Taizai",33,0,7.61
"Ansatsu Kyoushitsu",34,80,8.07
"Bleach",35,18,7.97
"Haikyuu!!",36,20,8.43
"Mirai Nikki (TV)",37,78,7.38
"Yakusoku no Neverland",38,68,8.48
"Kono Subarashii Sekai ni Shukufuku wo!",39,45,8.09
"Sword Art Online II",40,0,6.71
"Ao no Exorcist",41,0,7.47
"Cowboy Bebop",42,15,8.75
"Kiseijuu: Sei no Kakuritsu",43,57,8.32
"Sen to Chihiro no Kamikakushi",44,59,8.77
"Shinseiki Evangelion",45,9,8.36
"Violet Evergarden",46,25,8.68
"Code Geass: Hangyaku no Lelouch R2",47,19,8.91
"Dr. Stone",48,85,8.26
"Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai",49,41,8.23
"Death Parade",50,87,8.13
"Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen",51,48,8.4
"Tokyo Ghoul Root A",52,0,7.02
"Boku no Hero Academia 4th Season",53,0,7.86
"One Punch Man 2nd Season",54,0,7.53
"Fairy Tail",55,44,7.57
"Black Clover",56,42,8.14
"Kill la Kill",57,53,8.03
"JoJo no Kimyou na Bouken (TV)",58,54,7.87
"Chainsaw Man",59,37,8.45
"Spy x Family",60,50,8.46
"Darling in the FranXX",61,64,7.19
"Another",62,0,7.46
"Shokugeki no Souma",63,0,8.12
"Soul Eater",64,88,7.85
"Psycho-Pass",65,52,8.33
"Charlotte",66,0,7.75
"Tengen Toppa Gurren Lagann",67,17,8.64
"Tate no Yuusha no Nariagari",68,100,7.92
"Overlord",69,94,7.9
"Vinland Saga",70,33,8.77
"Kimetsu no Yaiba Movie: Mugen Ressha-hen",71,0,8.56
"Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.",72,67,8.29
"Mob Psycho 100 II",73,65,8.78
"Hataraku Maou-sama!",74,0,7.71
"Kimetsu no Yaiba: Yuukaku-hen",75,0,8.72
"Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka",76,0,7.53
"Kono Subarashii Sekai ni Shukufuku wo! 2",77,0,8.25
"Elfen Lied",78,0,7.46
"Highschool of the Dead",79,0,7.06
"Kakegurui",80,0,7.22
"Tensei shitara Slime Datta Ken",81,72,8.14
"Fate/Zero",82,60,8.27
"Horimiya",83,55,8.19
"Noragami Aragoto",84,0,8.14
"Fullmetal Alchemist",85,96,8.11
"Yahari Ore no Seishun Love Comedy wa Machigatteiru.",86,86,8.0
"Ansatsu Kyoushitsu 2nd Season",87,0,8.47
"Haikyuu!! Second Season",88,0,8.62
"Bungou Stray Dogs",89,90,7.81
"High School DxD",90,0,7.32
"Made in Abyss",91,46,8.63
"Mushoku Tensei: Isekai Ittara Honki Dasu",92,56,8.35
"Clannad",93,91,7.99
"Enen no Shouboutai",94,0,7.72
"Durarara!!",95,82,8.09
"Bakemonogatari",96,38,8.32
"Shingeki no Kyojin: The Final Season Part 2",97,74,8.76
"Hyouka",98,92,8.05
"Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen",99,0,8.62
"Howl no Ugoku Shiro",100,79,8.67
