"customer_ID";"Age";"annual_income(USD)";"education_Basic";"education_2n Cycle";"education_Graduation";"education_Master";"education_PhD";"marital_Single";"marital_Married";"marital_Together";"marital_Divorced";"marital_Widow";"Kids_per_home";"Teens_per_home";"Customer_Days";"customer_years";"Education";"Marital_Status";"Age_group";"Income_bracket";"customer_months"
1;63;21994;0;0;1;0;0;0;0;1;0;0;0;1;2711;7;"Graduation";"Together";"55-65";"Low Income";90
2;74;68657;0;0;0;1;0;0;1;0;0;0;0;0;2653;7;"Masters";"Married";"65+";"Upper Middle";88
3;56;41551;0;0;0;0;1;0;1;0;0;0;1;1;2478;6;"PhD";"Married";"55-65";"Middle Income";82
4;47;79593;0;0;1;0;0;0;1;0;0;0;0;0;2207;6;"Graduation";"Married";"45-54";"Upper Middle";73
5;44;7500;1;0;0;0;0;0;1;0;0;0;0;0;2752;7;"Basic";"Married";"35-44";"Very Low Income";91
6;41;88194;0;1;0;0;0;1;0;0;0;0;0;1;2261;6;"2n_Cycle";"Single";"35-44";"Upper Middle";75
7;40;69508;0;0;1;0;0;0;0;1;0;0;1;0;2751;7;"Graduation";"Together";"35-44";"Upper Middle";91
8;54;44794;0;0;1;0;0;0;1;0;0;0;0;1;2180;5;"Graduation";"Married";"45-54";"Middle Income";72
9;62;69096;0;0;1;0;0;0;0;1;0;0;0;1;2434;6;"Graduation";"Together";"55-65";"Upper Middle";81
10;42;63693;0;0;1;0;0;0;0;0;1;0;0;1;2417;6;"Graduation";"Divorced";"35-44";"Upper Middle";80
11;45;7500;0;0;0;1;0;0;1;0;0;0;1;0;2429;6;"Masters";"Married";"35-44";"Very Low Income";80
12;41;85693;0;0;1;0;0;0;0;1;0;0;0;1;2594;7;"Graduation";"Together";"35-44";"Upper Middle";86
13;69;49389;0;0;0;1;0;1;0;0;0;0;1;1;2463;6;"Masters";"Single";"65+";"Middle Income";82
14;53;62981;0;0;0;0;1;0;0;1;0;0;0;0;2628;7;"PhD";"Together";"45-54";"Upper Middle";87
15;50;74854;0;0;1;0;0;0;0;1;0;0;1;2;2606;7;"Graduation";"Together";"45-54";"Upper Middle";86
16;61;63033;0;0;1;0;0;0;0;0;1;0;0;0;2385;6;"Graduation";"Divorced";"55-65";"Upper Middle";79
17;53;54178;0;0;1;0;0;0;0;1;0;0;0;1;2318;6;"Graduation";"Together";"45-54";"Middle Income";77
18;50;67353;0;0;0;0;1;0;1;0;0;0;0;1;2339;6;"PhD";"Married";"45-54";"Upper Middle";77
19;44;79941;0;0;1;0;0;1;0;0;0;0;0;0;2160;5;"Graduation";"Single";"35-44";"Upper Middle";72
20;66;64497;0;0;1;0;0;0;0;0;1;0;0;1;2816;7;"Graduation";"Divorced";"65+";"Upper Middle";93
21;66;66991;0;0;0;1;0;0;1;0;0;0;0;0;2815;7;"Masters";"Married";"65+";"Upper Middle";93
22;44;9548;1;0;0;0;0;0;0;0;1;0;1;0;2849;7;"Basic";"Divorced";"35-44";"Very Low Income";94
23;44;23718;0;1;0;0;0;0;1;0;0;0;1;0;2459;6;"2n_Cycle";"Married";"35-44";"Low Income";81
24;48;42394;0;0;0;1;0;1;0;0;0;0;1;0;2257;6;"Masters";"Single";"45-54";"Middle Income";75
25;61;65031;0;0;1;0;0;0;1;0;0;0;0;1;2628;7;"Graduation";"Married";"55-65";"Upper Middle";87
26;53;30753;0;1;0;0;0;0;0;1;0;0;1;1;2512;6;"2n_Cycle";"Together";"45-54";"Middle Income";83
27;45;60631;0;0;0;0;1;0;1;0;0;0;1;1;2609;7;"PhD";"Married";"35-44";"Upper Middle";86
28;68;59354;0;0;0;1;0;0;0;0;1;0;1;1;2385;6;"Masters";"Divorced";"65+";"Middle Income";79
29;67;54348;0;0;0;1;0;0;1;0;0;0;1;1;2180;5;"Masters";"Married";"65+";"Middle Income";72
30;51;21918;0;0;1;0;0;0;0;1;0;0;1;0;2386;6;"Graduation";"Together";"45-54";"Low Income";79
31;64;46097;0;0;1;0;0;0;0;1;0;0;0;1;2614;7;"Graduation";"Together";"55-65";"Middle Income";87
