Title,Rank,Score
Shingeki no Kyojin,1,8.56
Death Note,2,8.62
Fullmetal Alchemist: Brotherhood,3,9.10
One Punch Man,4,8.48
Kimetsu no Yaiba,5,8.43
Sword Art Online,6,7.22
Boku no Hero Academia,7,7.84
Hunter x Hunter (2011),8,9.03
Naruto,9,8.01
Tokyo Ghoul,10,7.79
Kimi no Na wa.,11,8.83
Shingeki no Kyojin Season 2,12,8.53
Jujutsu Kaisen,13,8.55
Steins;Gate,14,9.07
Boku no Hero Academia 2nd Season,15,8.06
Naruto: Shippuuden,16,8.28
One Piece,17,8.73
Shingeki no Kyojin Season 3,18,8.63
No Game No Life,19,8.04
Koe no Katachi,20,8.93
Shingeki no Kyojin Season 3 Part 2,21,9.05
Code Geass: Hangyaku no Lelouch,22,8.70
Re:Zero kara Hajimeru Isekai Seikatsu,23,8.24
Shigatsu wa Kimi no Uso,24,8.64
Toradora!,25,8.05
Boku no Hero Academia 3rd Season,26,7.99
Noragami,27,7.94
Mob Psycho 100,28,8.49
Boku dake ga Inai Machi,29,8.30
Akame ga Kill!,30,7.48
Shingeki no Kyojin: The Final Season,31,8.78
Angel Beats!,32,8.05
Nanatsu no Taizai,33,7.61
Ansatsu Kyoushitsu,34,8.07
Bleach,35,7.97
Haikyuu!!,36,8.43
Mirai Nikki (TV),37,7.38
Yakusoku no Neverland,38,8.48
Kono Subarashii Sekai ni Shukufuku wo!,39,8.09
Sword Art Online II,40,6.71
Ao no Exorcist,41,7.47
Cowboy Bebop,42,8.75
Kiseijuu: Sei no Kakuritsu,43,8.32
Sen to Chihiro no Kamikakushi,44,8.77
Shinseiki Evangelion,45,8.36
Violet Evergarden,46,8.68
Code Geass: Hangyaku no Lelouch R2,47,8.91
Dr. Stone,48,8.26
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,49,8.23
Death Parade,50,8.13
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,51,8.40
Tokyo Ghoul √A,52,7.02
Boku no Hero Academia 4th Season,53,7.86
One Punch Man 2nd Season,54,7.53
Fairy Tail,55,7.57
Black Clover,56,8.14
Kill la Kill,57,8.03
JoJo no Kimyou na Bouken (TV),58,7.87
Chainsaw Man,59,8.45
Spy x Family,60,8.46
Darling in the FranXX,61,7.19
Another,62,7.46
Shokugeki no Souma,63,8.12
Soul Eater,64,7.85
Psycho-Pass,65,8.33
Charlotte,66,7.75
Tengen Toppa Gurren Lagann,67,8.64
Tate no Yuusha no Nariagari,68,7.92
Overlord,69,7.90
Vinland Saga,70,8.77
Kimetsu no Yaiba Movie: Mugen Ressha-hen,71,8.56
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,72,8.29
Mob Psycho 100 II,73,8.78
Hataraku Maou-sama!,74,7.71
Kimetsu no Yaiba: Yuukaku-hen,75,8.72
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,76,7.53
Kono Subarashii Sekai ni Shukufuku wo! 2,77,8.25
Elfen Lied,78,7.46
Highschool of the Dead,79,7.06
Kakegurui,80,7.22
Tensei shitara Slime Datta Ken,81,8.14
Fate/Zero,82,8.27
Horimiya,83,8.19
Noragami Aragoto,84,8.14
Fullmetal Alchemist,85,8.11
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,86,8.00
Ansatsu Kyoushitsu 2nd Season,87,8.47
Haikyuu!! Second Season,88,8.62
Bungou Stray Dogs,89,7.81
High School DxD,90,7.32
Made in Abyss,91,8.63
Mushoku Tensei: Isekai Ittara Honki Dasu,92,8.35
Clannad,93,7.99
Enen no Shouboutai,94,7.72
Durarara!!,95,8.09
Bakemonogatari,96,8.32
Shingeki no Kyojin: The Final Season Part 2,97,8.76
Hyouka,98,8.05
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,99,8.62
Howl no Ugoku Shiro,100,8.67
